minute,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_red,p_away_red,p_home_penalty,p_away_penalty,p_home_corner,p_away_corner,p_var_review,p_any_injury,p_any_substitution,expected_home_possession,p_home_leading_after,p_draw_after,p_away_leading_after,expected_score_home_after,expected_score_away_after,most_likely_score_after
24,0.129585,0.12377,0.046925,0.04572,0.014005,0.01376,0.11006,0.09824,0.01582,0.01409,0.00108,0.00069,0.001915,0.001745,0.034145,0.03107,0.00468,0.00114,0.00114,0.5042431060640535,0.20849,0.58301,0.2085,0.32045,0.3194,0-0
25,0.131195,0.12396,0.04778,0.045995,0.01386,0.01361,0.1104,0.09777,0.016025,0.01433,0.000945,0.00088,0.002135,0.00167,0.034515,0.031235,0.004995,0.001215,0.001215,0.5042381810640536,0.214005,0.572,0.213995,0.334325,0.333015,0-0
26,0.13989,0.132655,0.050775,0.049345,0.01518,0.01468,0.117725,0.104175,0.017285,0.01484,0.000975,0.00098,0.00206,0.002005,0.03683,0.032475,0.005075,0.001255,0.001255,0.5042260810640535,0.219775,0.560815,0.21941,0.349515,0.3477,0-0
27,0.14025,0.1326,0.051115,0.049105,0.01517,0.014455,0.119975,0.104735,0.017425,0.015155,0.001075,0.00091,0.002215,0.002015,0.03706,0.03285,0.005035,0.001135,0.001135,0.5042006560640536,0.2255,0.549785,0.224715,0.36469,0.36217,0-0
28,0.138475,0.134445,0.0505,0.049,0.014825,0.014875,0.11863,0.10445,0.017455,0.015725,0.001005,0.00094,0.00229,0.00185,0.037005,0.03345,0.00537,0.00121,0.00121,0.5041981810640536,0.23095,0.538835,0.230215,0.37953,0.377055,0-0
29,0.14034,0.132275,0.05088,0.04912,0.01487,0.014875,0.1184,0.10498,0.017195,0.015235,0.00105,0.00094,0.00195,0.00212,0.037515,0.03226,0.00506,0.001125,0.001125,0.5041962810640536,0.236045,0.528495,0.23546,0.39442,0.39197,0-0
30,0.14057,0.13378,0.050985,0.05029,0.015045,0.01512,0.11647,0.10432,0.01719,0.015145,0.000925,0.001005,0.00211,0.00217,0.03668,0.03371,0.005195,0.0012,0.0012,0.5042121560640536,0.24087,0.51854,0.24059,0.40948,0.40709,0-0
31,0.139465,0.13296,0.050845,0.04963,0.015025,0.01477,0.116765,0.1045,0.017485,0.01527,0.000875,0.00079,0.002215,0.00193,0.03685,0.03299,0.00535,0.001285,0.001285,0.5042068060640535,0.24556,0.509155,0.245285,0.42453,0.421895,0-0
32,0.13993,0.133155,0.051365,0.04951,0.01509,0.014535,0.117825,0.10561,0.01739,0.015385,0.001055,0.0009,0.002185,0.00194,0.036765,0.033725,0.005465,0.00117,0.00117,0.5041827310640535,0.24983,0.501015,0.249155,0.43965,0.43646,0-0
33,0.13993,0.133455,0.05037,0.04959,0.01467,0.01514,0.117575,0.10377,0.01741,0.015055,0.00115,0.00097,0.002115,0.00188,0.037205,0.03316,0.005035,0.00112,0.00112,0.5041804810640536,0.253955,0.492495,0.25355,0.45434,0.451635,0-0
