minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,p_scoreless_after,p_btts_after,expected_home_goals_after,expected_away_goals_after
26,1.0,0.09293666666666667,0.0817,0.00979,0.00761,0.12983166666666668,0.13057166666666667,0.016711666666666666,0.016453333333333334,0.035735,0.032215,0.19457666666666668,0.65966,0.14576333333333333,0.622175,0.047591666666666664,0.2695916666666667,0.20959
27,1.0,0.08837166666666667,0.07806666666666667,0.009131666666666666,0.006881666666666667,0.13348666666666667,0.13339166666666666,0.016568333333333334,0.016776666666666665,0.034065,0.030041666666666668,0.19920166666666667,0.6518833333333334,0.148915,0.612525,0.05037,0.2787233333333333,0.21647166666666667
28,1.0,0.09004333333333334,0.07922166666666666,0.009363333333333333,0.007381666666666667,0.13782833333333333,0.13757166666666668,0.017425,0.01755,0.03306833333333333,0.029508333333333334,0.20378666666666667,0.643945,0.15226833333333334,0.6026066666666666,0.05339666666666667,0.28808666666666666,0.22385333333333332
29,1.0,0.090265,0.07918,0.009621666666666667,0.007281666666666666,0.13747166666666666,0.13823,0.018718333333333333,0.018735,0.034133333333333335,0.030853333333333333,0.20845666666666668,0.6360766666666666,0.15546666666666667,0.592725,0.056485,0.29770833333333335,0.231135
30,1.0,0.09577666666666666,0.08363833333333333,0.009865,0.0078,0.13603333333333334,0.13627833333333333,0.019761666666666667,0.019886666666666667,0.032705,0.029231666666666666,0.21303,0.628185,0.158785,0.58269,0.059783333333333334,0.3075733333333333,0.238935
31,1.0,0.09796833333333334,0.08605166666666667,0.010408333333333334,0.008235,0.13151833333333332,0.13181666666666667,0.018515,0.018515,0.03261833333333333,0.029063333333333333,0.21778666666666666,0.6199666666666667,0.16224666666666668,0.5721333333333334,0.06340333333333334,0.31798166666666666,0.24717
32,1.0,0.10461,0.09187833333333334,0.011601666666666666,0.009038333333333334,0.12914166666666665,0.12958,0.017361666666666668,0.017155,0.03156333333333333,0.028173333333333335,0.22297833333333333,0.6111583333333334,0.16586333333333333,0.5607016666666667,0.06743666666666667,0.32958333333333334,0.2562083333333333
33,1.0,0.10394,0.09140166666666667,0.011473333333333334,0.008885,0.13003166666666666,0.129485,0.017335,0.016985,0.03292,0.030218333333333333,0.22774666666666665,0.6030366666666667,0.16921666666666665,0.5498583333333333,0.07163166666666666,0.3410566666666667,0.26509333333333335
34,1.0,0.10238666666666667,0.09022666666666666,0.011471666666666666,0.009001666666666666,0.12678833333333334,0.12775,0.015628333333333334,0.015511666666666667,0.03303166666666667,0.02938,0.232575,0.594815,0.17261,0.5391066666666666,0.075735,0.35252833333333333,0.274095
35,1.0,0.10193666666666666,0.089035,0.011553333333333334,0.009001666666666666,0.12850833333333334,0.12939333333333333,0.016526666666666665,0.016756666666666666,0.03242833333333334,0.028746666666666667,0.23721666666666666,0.587135,0.17564833333333332,0.528585,0.08025166666666667,0.3640816666666667,0.28309666666666666
36,1.0,0.111355,0.09771333333333333,0.012856666666666667,0.009991666666666666,0.12744833333333333,0.12814,0.015473333333333334,0.01548,0.032701666666666664,0.029348333333333334,0.24231333333333333,0.57855,0.17913666666666667,0.5170883333333334,0.08516333333333333,0.3769383333333333,0.29308833333333334
37,1.0,0.10469833333333334,0.092735,0.0121,0.00931,0.13076833333333332,0.130555,0.016088333333333333,0.01598166666666667,0.03311833333333333,0.030638333333333333,0.24706833333333333,0.57067,0.18226166666666666,0.50649,0.08982666666666667,0.3890383333333333,0.3023983333333333
38,1.0,0.104135,0.091475,0.01213,0.009843333333333334,0.13083333333333333,0.13151166666666667,0.015365,0.015508333333333334,0.03347166666666666,0.030311666666666667,0.25155833333333333,0.56278,0.18566166666666667,0.49579,0.09473166666666667,0.40116833333333335,0.31224166666666664
39,1.0,0.102245,0.08942333333333333,0.011713333333333333,0.009225,0.12700333333333333,0.12773833333333334,0.015308333333333334,0.015455,0.034595,0.030681666666666666,0.25585833333333335,0.55557,0.18857166666666667,0.4859,0.099435,0.41288166666666665,0.3214666666666667
40,1.0,0.10224666666666667,0.09036333333333334,0.011848333333333334,0.009116666666666667,0.12460333333333333,0.12481666666666667,0.01700166666666667,0.017288333333333333,0.03446333333333333,0.030768333333333335,0.26024833333333336,0.54839,0.19136166666666668,0.4761,0.104165,0.42473,0.33058333333333334
41,1.0,0.10324,0.09111,0.012078333333333333,0.009645,0.124425,0.12443,0.021295,0.021121666666666667,0.03511,0.031965,0.26454833333333333,0.5410483333333334,0.19440333333333334,0.466085,0.10914666666666667,0.43680833333333335,0.34022833333333335
42,1.0,0.15020666666666666,0.132425,0.017003333333333332,0.013675,0.16068166666666667,0.16065166666666666,0.027191666666666666,0.026981666666666668,0.054823333333333335,0.049398333333333336,0.27018166666666665,0.5316233333333333,0.198195,0.4525633333333333,0.11649166666666666,0.45381166666666667,0.35390333333333335
43,1.0,0.136545,0.12098833333333334,0.015438333333333333,0.0123,0.163035,0.163505,0.026278333333333334,0.026076666666666668,0.05084,0.045658333333333335,0.27531666666666665,0.5229733333333333,0.20171,0.44054166666666666,0.12299833333333333,0.46925,0.3662033333333333
44,1.0,0.13397666666666666,0.11841,0.015533333333333333,0.012361666666666667,0.16780833333333334,0.16929166666666667,0.026663333333333334,0.026938333333333335,0.050366666666666664,0.045893333333333335,0.28008666666666665,0.514995,0.20491833333333334,0.4289833333333333,0.129875,0.48478333333333334,0.378565
45,1.0,0.13339,0.118515,0.014651666666666667,0.011725,0.17294,0.17250166666666666,0.026941666666666666,0.027591666666666667,0.053081666666666666,0.048911666666666666,0.28449166666666664,0.50774,0.20776833333333333,0.4184333333333333,0.13643666666666668,0.499435,0.39029
46,1.0,0.13459833333333332,0.11825166666666667,0.014788333333333334,0.011551666666666667,0.17668666666666666,0.17591333333333334,0.030028333333333334,0.030083333333333333,0.052226666666666664,0.047695,0.28881666666666667,0.500625,0.21055833333333332,0.40811,0.142945,0.5142233333333334,0.40184166666666665
47,1.0,0.137995,0.12176333333333333,0.015175,0.012038333333333333,0.17749166666666666,0.17897,0.027581666666666668,0.027986666666666667,0.050791666666666666,0.046226666666666666,0.29335,0.4933016666666667,0.21334833333333333,0.3975916666666667,0.149715,0.5293983333333333,0.41388
48,1.0,0.1441,0.12843333333333334,0.01556,0.012338333333333333,0.17728833333333333,0.1784,0.025095,0.025243333333333333,0.052138333333333335,0.04770833333333333,0.297575,0.48641,0.216015,0.38722833333333334,0.15673333333333334,0.5449583333333333,0.4262183333333333
49,1.0,0.10499833333333333,0.093515,0.01081,0.00825,0.13877,0.14010833333333333,0.019983333333333332,0.020035,0.03514166666666667,0.031821666666666665,0.30058,0.4817283333333333,0.21769166666666667,0.38022666666666666,0.161435,0.5557683333333333,0.43446833333333335
50,1.0,0.11212333333333334,0.099695,0.011655,0.009376666666666667,0.13268,0.13355666666666666,0.01985666666666667,0.020111666666666667,0.04061833333333333,0.03706,0.30355,0.47681666666666667,0.21963333333333335,0.37285,0.16677166666666668,0.5674233333333333,0.443845
51,1.0,0.11876,0.10551166666666667,0.012575,0.009875,0.13081333333333334,0.130865,0.019981666666666665,0.020093333333333335,0.04087,0.03741666666666667,0.3068416666666667,0.47154,0.22161833333333333,0.36501333333333336,0.17255166666666666,0.5799983333333333,0.45372
52,1.0,0.11972666666666666,0.10694,0.01279,0.009948333333333333,0.13080333333333333,0.13248833333333335,0.02051,0.020655,0.038926666666666665,0.035675,0.31009166666666665,0.46644,0.22346833333333332,0.35724666666666666,0.178455,0.5927883333333334,0.46366833333333335
53,1.0,0.12037833333333334,0.10716166666666667,0.01286,0.009968333333333333,0.129855,0.12893833333333332,0.021753333333333333,0.02157,0.03898833333333333,0.035525,0.31321166666666667,0.46152666666666664,0.22526166666666667,0.34963833333333333,0.18442833333333333,0.6056483333333333,0.47363666666666665
54,1.0,0.120275,0.10637333333333333,0.013181666666666666,0.010355,0.12767833333333334,0.12696333333333334,0.023548333333333334,0.022996666666666665,0.04475666666666667,0.04109,0.3162083333333333,0.4568433333333333,0.22694833333333334,0.3421133333333333,0.19072666666666666,0.61883,0.48399166666666665
55,1.0,0.117335,0.10458666666666666,0.013183333333333333,0.01045,0.12797333333333333,0.12829333333333334,0.02271,0.023021666666666666,0.043491666666666665,0.04022,0.3193166666666667,0.45194833333333334,0.228735,0.33450833333333335,0.19689666666666666,0.6320133333333333,0.49444166666666667
56,1.0,0.11412666666666667,0.10223166666666667,0.012866666666666667,0.010201666666666666,0.12589166666666668,0.12660166666666667,0.021126666666666665,0.021201666666666667,0.044088333333333334,0.040355,0.32225166666666666,0.4472966666666667,0.23045166666666667,0.327385,0.20283166666666666,0.64488,0.5046433333333333
57,1.0,0.11366666666666667,0.10134666666666667,0.012371666666666666,0.009756666666666667,0.12898666666666667,0.129045,0.02401,0.02409,0.04111,0.037573333333333334,0.3249433333333333,0.44314333333333333,0.23191333333333333,0.3206616666666667,0.20865166666666668,0.6572516666666667,0.5144
58,1.0,0.11272833333333333,0.10118333333333333,0.011895,0.009478333333333333,0.129035,0.12882166666666667,0.023646666666666667,0.023023333333333333,0.03890333333333333,0.03563,0.327455,0.439115,0.23343,0.3143066666666667,0.21431333333333333,0.6691466666666667,0.5238783333333333
59,1.0,0.11372,0.10231166666666666,0.012753333333333334,0.010386666666666667,0.12593166666666666,0.12587666666666666,0.02101,0.020971666666666666,0.03675833333333333,0.03331166666666667,0.329985,0.4351316666666667,0.23488333333333333,0.30767,0.22056833333333334,0.6819,0.534265
60,1.0,0.11055833333333333,0.09977666666666667,0.012518333333333333,0.010018333333333334,0.128245,0.128165,0.018965,0.01876,0.03956833333333333,0.036555,0.3326016666666667,0.43109166666666665,0.23630666666666666,0.301225,0.22659166666666666,0.6944183333333334,0.5442833333333333
61,1.0,0.110765,0.09902333333333334,0.0125,0.010086666666666667,0.126745,0.12728,0.018878333333333334,0.01869,0.03275,0.030575,0.3350166666666667,0.42747,0.23751333333333333,0.294945,0.23274,0.7069183333333333,0.55437
