team,player,role,squad_status,p_appearance,expected_minutes,p_substituted,tournament_minutes,tournament_attempts,tournament_goals,tournament_assists,expected_shots,expected_goals,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m,expected_sot,conditional_goal_lambda,conditional_shot_lambda,conditional_sot_lambda,conditional_assist_lambda,conditional_save_lambda,expected_saves
Spain,Rodri,MID,starter,1.0,93.48,0.05714285714285716,627.0,6.0,0.0,,0.5637952733406975,0.03935115961399908,0.038586959570142465,0.01610985319926526,0.0973853710232081,0.1514582914672291,0.19216318706128283,0.03935115961399908,0.5637952733406975,0.19216318706128283,0.1024595841238663,0.0,0.0
Spain,Aymeric Laporte,DEF,starter,1.0,93.6,0.052631578947368474,630.0,4.0,0.0,,0.32422331788785197,0.02586260679278333,0.02553103417175462,0.010587815019149788,0.09340185816123914,0.23972731604864395,0.08648438017791055,0.02586260679278333,0.32422331788785197,0.08648438017791055,0.09805599007073713,0.0,0.0
Spain,Marc Cucurella,DEF,starter,1.0,93.6,0.052631578947368474,630.0,4.0,0.0,,0.32422331788785197,0.02586260679278333,0.02553103417175462,0.010587815019149788,0.053838459817105,0.23972731604864395,0.08648438017791055,0.02586260679278333,0.32422331788785197,0.08648438017791055,0.055341963215607914,0.0,0.0
Spain,Pau Cubarsí,DEF,starter,1.0,93.6,0.052631578947368474,630.0,3.0,0.0,,0.25805529382910664,0.02216794867952857,0.02192404530880765,0.009075270016414104,0.09589077645068222,0.23972731604864395,0.06883450667221451,0.02216794867952857,0.25805529382910664,0.06883450667221451,0.1008051033781049,0.0,0.0
Spain,Nico Williams,FWD,bench,0.62,14.879999999999999,0.0,62.0,1.0,0.0,,0.20068723838643862,0.02037432166968403,0.020168167634718737,0.008340982434897618,0.008172129760591895,0.01441883598064475,0.08178494707490792,0.032861809144651664,0.3236890941716752,0.1319112049595289,0.013235007511386914,0.0,0.0
Spain,Ferran Torres,FWD,bench,0.7,16.799999999999997,0.0,225.0,11.0,0.0,,0.37291619713108237,0.019831156368581106,0.0196358124171091,0.008118617621521445,0.004881769966795568,0.01626412331444327,0.15197245071962912,0.028330223383687295,0.5327374244729749,0.2171035010280416,0.006991035326572257,0.0,0.0
Spain,Pedri,MID,bench,0.32,7.68,0.0,442.0,4.0,0.0,,0.045955926677456536,0.003665806855594986,0.0036590959883958663,0.0015007336729026537,0.00862238481779709,0.01340245294796738,0.01566355333624471,0.01145564642373433,0.14361227086705167,0.048948604175764715,0.02706178952420533,0.0,0.0
Spain,Dean Huijsen,MID,bench,0.12,2.88,0.0,0.0,0.0,0.0,,0.02290431602033491,0.002557840232253296,0.0025545717462752693,0.0010471465403554736,0.00013833545701957828,0.0050471239198440765,0.00780667481982709,0.021315335268777467,0.19086930016945758,0.06505562349855909,0.0011528752187619355,0.0,0.0
Spain,Samu Aghehowa,MID,bench,0.12,2.88,0.0,0.0,0.0,0.0,,0.02290431602033491,0.002557840232253296,0.0025545717462752693,0.0010471465403554736,0.00013833545701957828,0.0050471239198440765,0.00780667481982709,0.021315335268777467,0.19086930016945758,0.06505562349855909,0.0011528752187619355,0.0,0.0
Spain,Unai Simón,GK,starter,1.0,93.6,0.052631578947368474,630.0,0.0,0.0,,0.002646720962349812,0.00029557264906038093,0.0002955289717683218,0.00012100360021885473,0.031219847488365482,0.08731034296276563,0.0001470822792141336,0.00029557264906038093,0.002646720962349812,0.0001470822792141336,0.03171757362565831,3.1620633333333332,3.1620633333333332
Spain,David Raya,MID,bench,0.0036,0.0864,0.0,0.0,0.0,0.0,,0.0006871294806100473,7.673520696759889e-05,7.673226289695023e-05,3.141439621066421e-05,4.150342174824573e-06,0.00015178558945838638,0.00023420024459481272,0.0038367603483799445,0.03435647403050236,0.011710012229740635,0.00020751753937592435,0.0,0.0
