fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942072,spreads,Spain (-5.5),Spread: Spain (-5.5),Spain,Argentina,23748597158354846643235421984130201371194669485431024611492995992258659038441,60355982191905787681048665642297423360126574401720213554851134570885746870644,47526.497645998665,205390.89197,0.001,0.003,0.05,0.001,True,0.004,0.001,0.003,15.95476,136.008,40.66596,0.999,0.996,0.0030000000000000027,40625.29404,40625.29404,3972.73524
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942073,spreads,Argentina (-5.5),Spread: Argentina (-5.5),Argentina,Spain,70067327697400826440646334682200786574182675701377529276477192598187627976266,26663200342242369242743664725822228580684130521640679795846882193264809290075,48336.960883999964,170239.72674,,0.004,0.05,0.001,True,0.004,,,3.8727199999999997,55.99684,0,,0.996,,0,0,964.30728
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942074,totals,O/U 0.5,Spain vs. Argentina: O/U 0.5,Over,Under,95825958363807846699086525334115004140149075455134418888294284834103444139805,100899066788087264896991245177978653395891419153169248929857538839728453964270,224454.9669640003,288809.9774,0.8875,0.89,0.05,0.0025,True,0.89,0.8875,0.0025000000000000577,54483.0054,445704.704575,27649.379125,0.1125,0.11,0.0025000000000000022,3504.850875,16480.819975,6731.2146
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942075,totals,O/U 1.5,Spain vs. Argentina: O/U 1.5,Over,Under,76487730613685673778526503275712730145438196914922669236000206527286181327605,94444460094130059478461527758124284936643092317254702208374627453626023521088,1923100.0794130047,660953.45895,0.6925,0.695,0.05,0.0025,True,0.695,0.6925,0.0024999999999999467,170368.35934999998,284753.32145,26726.088775,0.3075,0.305,0.0025000000000000022,11867.541224999999,105498.081475,72013.95564999999
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942076,totals,O/U 2.5,Spain vs. Argentina: O/U 2.5,Over,Under,96709369199155811896412708963452696003757852418260689931259227822622759089946,62079784984413523345650422563713547632559798516317866687864953356087521248390,2599164.8679350014,1578510.88125,0.41,0.4125,0.05,0.0025,True,0.4125,0.41,0.0025000000000000022,28996.501874999998,657913.2845,54864.31399999999,0.59,0.5875,0.0024999999999999467,80391.73030000001,512806.0464,41946.21925000001
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942077,totals,O/U 3.5,Spain vs. Argentina: O/U 3.5,Over,Under,55402626476150628336189573790876489866083310387667065204313831315980903668019,79463031754212872590735327726896748721117002882760315528874275622377644753131,427229.26948699926,598281.473025,0.2275,0.23,0.05,0.0025,True,0.23,0.2275,0.0025000000000000022,1005.5600000000001,24535.846400000002,73780.4704,0.7725,0.77,0.0024999999999999467,250529.2896,416433.38545,3366.44
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942078,totals,O/U 4.5,Spain vs. Argentina: O/U 4.5,Over,Under,11495950938209749273971051560503552170700519238704281218794309479744779141493,44191264759697865385135202563380717265798503080774312620323457687658441080107,376398.51457199996,190547.976,0.1125,0.115,0.05,0.0025,True,0.1175,0.115,0.0024999999999999883,233.73805,3560.88465,3.4488499999999997,0.885,0.8825,0.0025000000000000577,26.54115,146578.29775,1755.5219499999998
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942079,totals,O/U 5.5,Spain vs. Argentina: O/U 5.5,Over,Under,39597975841443176908555740378556181319024921993457924597132299006128698383414,45112419386690364734449600494611320250510060938704315852020921265799923273987,255282.9200820003,330459.02495,0.045,0.046,0.05,0.001,True,0.046,0.045,0.0010000000000000009,35.297180000000004,686.19625,560.78595,0.955,0.954,0.0010000000000000009,11901.124049999999,135211.99972,732.03282
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942080,totals,O/U 6.5,Spain vs. Argentina: O/U 6.5,Over,Under,12824531344546423125643023561330753840736159393118539820917597694992566604050,20229023836786455875423160779564438217271757651373250307733617830660567954572,188354.77205499998,314917.33859,0.016,0.017,0.05,0.001,True,0.017,0.016,0.0010000000000000009,16.388,60.834790000000005,24.28656,0.984,0.983,0.0010000000000000009,1493.62344,207033.62438,947.612
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942081,totals,O/U 7.5,Spain vs. Argentina: O/U 7.5,Over,Under,39694945349350859827256227800649660552056278027714528836781901344275639839905,2692517155492333981922803700748758333284067767841373811796825312545022886703,179299.50462099977,455462.4204,0.007,0.009,0.05,0.001,True,0.009,0.007,0.001999999999999999,4.29984,389.90179,5.91402,0.993,0.991,0.0020000000000000018,838.94598,50570.76251,625.96515
