fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891680,England vs. Argentina: Argentina O/U 0.5,soccer_team_totals,team_total,Argentina over 0.5,Over,Under,92832255069103059256064674256039412537235727944896260614333278413807323563015,15910911080096650316628657283649337046819367241396715641251116515633003080809,500769.8668,43412.07201699995,0.69,0.7,0.05,0.01,0.7,0.69,0.010000000000000009,366246.8044,378451.49559999997,0.31,0.3,0.010000000000000009,15243.210100000002,28835.497600000002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891681,England vs. Argentina: Argentina O/U 1.5,soccer_team_totals,team_total,Argentina over 1.5,Over,Under,82272585945602053476684781557820061190730220616293790468940586641792211779572,666658610028547354079473579294582556780948270660038221280898246467377920108,342927.996,149616.47854200003,0.3,0.31,0.05,0.01,0.31,0.3,0.010000000000000009,33279.5608,40191.998199999995,0.7,0.69,0.010000000000000009,43698.6134,66235.0958
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891682,England vs. Argentina: Argentina O/U 2.5,soccer_team_totals,team_total,Argentina over 2.5,Over,Under,96515394093226273524445691436239733674306366264722940082296189518851530307900,104372578611365800442704879713850660281434575256932641173775605147788681253230,391259.0421,19897.913656,0.09,0.1,0.05,0.01,0.1,0.09,0.010000000000000009,2257.4541999999997,9457.765,0.91,0.9,0.010000000000000009,88922.0485,103943.0458
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891683,England vs. Argentina: England 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,England first half over 0.5,Over,Under,77526126263108804808391760486193942126967192161266297971339673952632122113911,84092266742673947145635285759305834518506864534282492898063166624458439173743,277414.3595,25918.15186200001,0.4,0.41,0.05,0.01,0.41,0.4,0.009999999999999953,63719.90169999999,67722.31159999999,0.6,0.59,0.010000000000000009,572.27,8216.9258
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891684,England vs. Argentina: England 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,England first half over 1.5,Over,Under,27487523557706224190047425514329630296618615730601947451759944634052167672666,112992508611138908885407045065833841013441702733642198784488424112576796759473,99011.6651,10395.927185999999,0.08,0.09,0.05,0.01,0.09,0.08,0.009999999999999995,21.0062,55.3823,0.92,0.91,0.010000000000000009,169.396,9588.196
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891685,England vs. Argentina: Argentina 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,Argentina first half over 0.5,Over,Under,45490818678589671823287925735784623487595733771184512208411495396896436718407,5621931345114947208087292752677791074964958704918484917797043110732213131571,142462.7063,2010.3324479999997,0.37,0.38,0.05,0.01,0.38,0.37,0.010000000000000009,9357.1034,15527.435400000002,0.63,0.62,0.010000000000000009,4377.8114000000005,7077.7034
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891686,England vs. Argentina: Argentina 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,Argentina first half over 1.5,Over,Under,110327662349011550453242537232970940835356475217481393814354165672414520272258,13858566148311352342843254940392269005458969291822285808833141685115706665101,128704.6243,5999.7456619999975,0.07,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,89.98949999999999,278.1555,0.93,0.91,0.020000000000000018,995.0812000000001,1998.7942
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891687,England vs. Argentina: Both Teams to Score in Second Half,both_teams_to_score_second_half,btts,Both teams to score second half,Yes,No,10164417472019520172498547784804753830625748915674119594974626361456374226791,35436364394090023456535502839525198644548789356594940931009438134007572106731,409033.0134,42355.925988999996,0.24,0.25,0.05,0.01,0.25,0.24,0.010000000000000009,89940.41400000002,90661.854,0.76,0.75,0.010000000000000009,26813.0748,29705.3148
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891688,England vs. Argentina: 2nd Half O/U 0.5,second_half_totals,half_total,Second half over 0.5,Over,Under,67135679830887607694829268220701272547694175687373324517962117885295121407495,31689649819161921986522492342270320206644654455758419395240821141864424410968,56846.4124,950.9714789999999,0.73,0.74,0.05,0.01,0.74,0.73,0.010000000000000009,14.792599999999998,1665.3378,0.27,0.26,0.010000000000000009,267.23940000000005,2120.8062999999997
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891689,England vs. Argentina: 2nd Half O/U 1.5,second_half_totals,half_total,Second half over 1.5,Over,Under,37021195927973212609176408856486744218862160292541446302272018835646943535080,17865835101508745380381736006469929177788103924376194019771061619796311582752,425782.9697,5153.960628,0.38,0.39,0.05,0.01,0.39,0.38,0.010000000000000009,201448.2821,201802.0547,0.62,0.61,0.010000000000000009,11719.4278,13412.7014
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891690,England vs. Argentina: 2nd Half O/U 2.5,second_half_totals,half_total,Second half over 2.5,Over,Under,103659036489993713487048920946799740252801461130661394849552034510864550492685,98201780533502259977579243363099166193350023077964518299952552468574998748670,52958.2729,91.5,0.15,0.16,0.05,0.01,0.16,0.15,0.010000000000000009,538.6107000000001,1303.2507,0.85,0.84,0.010000000000000009,22.2,1403.2119
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891691,England vs. Argentina: England 2nd Half O/U 0.5,soccer_second_half_team_totals,half_team,England second half over 0.5,Over,Under,101074606422437481614240974175656365291006267561063541515112206708580414399665,34453668492757051076079763866348957366708081558591721293976760849466010853642,85533.962,883.2080960000001,0.5,0.53,0.05,0.01,0.53,0.5,0.030000000000000027,26107.347100000003,26657.347100000003,0.5,0.47,0.030000000000000027,1028.875,2229.9762
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891692,England vs. Argentina: England 2nd Half O/U 1.5,soccer_second_half_team_totals,half_team,England second half over 1.5,Over,Under,47350680096650474634081816449017479267050715139410184918857304800265990123718,110982584633594302732826615712805272433787897274244648874153617555872924172192,32705.7857,669.260269,0.15,0.18,0.05,0.01,0.18,0.15,0.03,369.8145,369.8145,0.85,0.82,0.030000000000000027,302.0215,562.891
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891693,England vs. Argentina: Argentina 2nd Half O/U 0.5,soccer_second_half_team_totals,half_team,Argentina second half over 0.5,Over,Under,54499100552973013173055831849633010208682991359605060341499368646106335882579,78066256601704169626569039673748054043151710286405060321393929070378954580471,84546.2087,1497.7863519999999,0.5,0.52,0.05,0.01,0.52,0.5,0.020000000000000018,3535.1965,3545.9964999999997,0.5,0.48,0.020000000000000018,51.8299,379.13870000000003
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891694,England vs. Argentina: Argentina 2nd Half O/U 1.5,soccer_second_half_team_totals,half_team,Argentina second half over 1.5,Over,Under,88055291633516874482210051185495122603236931067589793699000353023884108851969,72096292285317036503161088711155428153316025231489127977059895851518501162487,37405.4368,341.25898299999994,0.13,0.16,0.05,0.01,0.15,0.13,0.01999999999999999,1.5,70.7274,0.87,0.85,0.020000000000000018,261.4625,271.6975
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891695,England vs. Argentina: Team to Advance,soccer_team_to_advance,advance,England to advance,England,Argentina,91458181621883013940102695027177858694251312846866974959991144943457909539098,36381558544198081581874507632628395248508497896159023038374000439706783759701,2277621.715925,7467751.279293258,0.5375,0.54,0.05,0.0025,0.54,0.5375,0.0025000000000000577,632178.0135250001,777584.4517500001,0.4625,0.46,0.0025000000000000022,854021.6924500001,1018201.2958500001
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891696,England vs. Argentina: Will the Match Go to Extra Time?,soccer_extra_time,extra_time,Match goes to extra time,Yes,No,43161560383450478036699756988996981313802631978049596194889053197865990806024,56782942449673323873601409691622797874573320441080026396946127068756580395129,239701.4134,31180.28730400002,0.33,0.34,0.05,0.01,0.34,0.33,0.010000000000000009,8379.9316,13155.331599999998,0.67,0.66,0.010000000000000009,66135.29920000001,71747.1796
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891697,England vs. Argentina: Will the Match Go to a Penalty Shootout?,soccer_penalty_shootout,extra_time,Match goes to penalties,Yes,No,55471627412012084882953226760702875289431271793686168110723907638757901743932,43640808784403206059282296395564362518976788588566442523709150044685267865397,222779.0597,37501.56480600004,0.18,0.2,0.05,0.01,0.2,0.18,0.020000000000000018,662.8158000000001,4310.0858,0.82,0.8,0.019999999999999907,2559.4037,4012.4860999999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-exact-score,England vs. Argentina - Exact Score,29110963.74534,14714806.801335016,2891215,Exact Score: England 0 - 0 Argentina?,soccer_exact_score,exact_score,England 0-0 Argentina,Yes,No,43253466484118613223346398545174650853078864702581205836915278054978935826821,91650759796378202584724157456744833051057694449229578587519268009658092695924,2366148.1776,625619.6595979974,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,234812.01750000002,307901.5375,0.89,0.88,0.010000000000000009,575501.7757,612720.3207
