minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
46,1.0,0.18537666666666666,0.12494666666666666,0.017226666666666668,0.015583333333333333,0.16651,0.16052666666666668,0.029506666666666667,0.02814,0.09418333333333333,0.05418333333333333,0.2948,0.44010666666666665,0.26509333333333335,0.5900533333333333,0.5448466666666667
47,1.0,0.1915,0.12763,0.017103333333333335,0.01589,0.16818333333333332,0.16257,0.026946666666666667,0.02649,0.09157,0.05280666666666667,0.2986333333333333,0.43300666666666665,0.26836,0.6071566666666667,0.5607366666666667
48,1.0,0.19984,0.13501333333333335,0.017883333333333334,0.01713,0.16652333333333333,0.16259333333333334,0.024193333333333334,0.023563333333333332,0.09483666666666667,0.05576,0.3022033333333333,0.4260366666666667,0.27176,0.62504,0.5778666666666666
49,1.0,0.14572666666666667,0.09748,0.01191,0.011236666666666667,0.13195666666666667,0.12756666666666666,0.019643333333333332,0.01906,0.06378666666666667,0.03687,0.3045733333333333,0.4214133333333333,0.27401333333333333,0.63695,0.5891033333333333
50,1.0,0.15491333333333332,0.10392333333333334,0.013216666666666666,0.012133333333333333,0.12512333333333334,0.12126333333333333,0.01943,0.01891,0.07336666666666666,0.04246333333333333,0.30747,0.4163966666666667,0.27613333333333334,0.6501666666666667,0.6012366666666666
51,1.0,0.16563666666666665,0.11080333333333334,0.01439,0.013363333333333333,0.12207,0.11998,0.019216666666666667,0.019103333333333333,0.07396333333333334,0.04251666666666667,0.31023,0.41125333333333336,0.2785166666666667,0.6645566666666667,0.6146
52,1.0,0.16528666666666667,0.11102333333333333,0.014333333333333333,0.013706666666666667,0.12388666666666667,0.11999666666666667,0.01997,0.019193333333333333,0.07115,0.04117666666666667,0.31294333333333335,0.40602333333333335,0.28103333333333336,0.67889,0.6283066666666667
53,1.0,0.16805333333333333,0.11209666666666666,0.014896666666666667,0.0138,0.12295666666666667,0.11843333333333333,0.02093,0.020666666666666667,0.06928333333333334,0.04006333333333333,0.31559333333333334,0.4009933333333333,0.28341333333333335,0.6937866666666667,0.6421066666666667
54,1.0,0.16677,0.11278,0.015246666666666667,0.013816666666666666,0.11996,0.1163,0.022753333333333334,0.0217,0.08143,0.04732,0.31872,0.39544666666666667,0.28583333333333333,0.7090333333333333,0.6559233333333333
55,1.0,0.16289,0.11020333333333333,0.01535,0.0142,0.12091333333333333,0.11631,0.022283333333333332,0.021596666666666667,0.07897,0.04586333333333333,0.32115333333333335,0.39058,0.28826666666666667,0.7243833333333334,0.6701233333333333
56,1.0,0.15922,0.10724666666666667,0.014943333333333333,0.01376,0.11794666666666667,0.11569,0.020516666666666666,0.0199,0.08032,0.046303333333333335,0.32337666666666665,0.3866266666666667,0.2899966666666667,0.7393266666666667,0.6838833333333333
57,1.0,0.15745666666666666,0.10662666666666666,0.014653333333333334,0.01348,0.12049666666666667,0.11684666666666667,0.023103333333333333,0.022703333333333332,0.07445333333333333,0.042563333333333335,0.3258933333333333,0.38231,0.29179666666666665,0.75398,0.6973633333333333
58,1.0,0.15752333333333332,0.10625666666666667,0.01402,0.012923333333333334,0.12128666666666667,0.11802666666666667,0.022763333333333333,0.022323333333333334,0.07089666666666666,0.040466666666666665,0.32797,0.3785266666666667,0.29350333333333334,0.768,0.7102866666666666
59,1.0,0.15921333333333335,0.10696666666666667,0.01535,0.014023333333333334,0.11872,0.11635333333333334,0.02068,0.0206,0.06632,0.037746666666666664,0.33019,0.37456333333333336,0.29524666666666666,0.78335,0.72431
60,1.0,0.15617,0.10510666666666667,0.014846666666666666,0.01385,0.11956666666666667,0.11651333333333333,0.018106666666666667,0.017973333333333334,0.07222666666666666,0.04197666666666667,0.3321733333333333,0.37085,0.29697666666666667,0.7981966666666667,0.73816
61,1.0,0.15485333333333334,0.10435666666666667,0.014456666666666666,0.013616666666666666,0.12114,0.11698666666666667,0.018526666666666667,0.017716666666666665,0.06087,0.03530333333333333,0.3341266666666667,0.36738,0.29849333333333333,0.8126533333333333,0.7517766666666666
62,1.0,0.14668666666666666,0.10013,0.013646666666666666,0.013246666666666667,0.12350666666666667,0.11968,0.01842,0.01791,0.05761,0.033343333333333336,0.33582,0.36390333333333336,0.3002766666666667,0.8263,0.7650233333333334
63,1.0,0.15458666666666668,0.1054,0.014596666666666668,0.013543333333333333,0.12298666666666666,0.1195,0.017776666666666666,0.017173333333333332,0.054713333333333336,0.032453333333333334,0.33782,0.36047,0.30171,0.8408966666666666,0.7785666666666666
64,1.0,0.15633333333333332,0.10509,0.01467,0.013423333333333334,0.12182,0.11822666666666666,0.016236666666666667,0.016026666666666668,0.05687333333333333,0.03331666666666667,0.33962,0.35739666666666664,0.3029833333333333,0.8555666666666667,0.79199
65,1.0,0.15115,0.10393666666666666,0.01441,0.013586666666666667,0.12076333333333333,0.11857,0.01634,0.016483333333333332,0.05965666666666666,0.03434333333333333,0.34124666666666664,0.35441333333333336,0.30434,0.8699766666666666,0.8055766666666667
66,1.0,0.15139666666666668,0.10312666666666667,0.013406666666666667,0.012616666666666667,0.11933333333333333,0.11581,0.018926666666666668,0.01871,0.06734333333333334,0.03912,0.34272,0.35184,0.30544,0.8833833333333333,0.8181933333333333
