fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_probability,external_validation_source,external_conflict_reason,model_risk_reason,lineup_pending_reason,player_data_quality_reason,decision,stake_per_10k
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944201,soccer_player_goals_plus_assists,Fabián Ruiz: 3+ goals + assists,Fabián Ruiz: 3+ goals + assists,Yes,No,49647959983363621982002518169079871959467843779147310861338559656804821432458,67112904246650617540433714363656668055877644818789252279735172373356783993282,0,817.5863,0.01,0.97,0.05,0.01,True,0.97,0.01,0.96,16.5676,79990.63799999999,0.6,0.99,0.03,0.96,59.4,59.4,0.7215,No,0.997957,0.996725,0.998582,0.99,0.03,0.96,0.000495,0.007462,-0.03377,0.12,0.829,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944202,soccer_player_goals_plus_assists,Fabián Ruiz: 4+ goals + assists,Fabián Ruiz: 4+ goals + assists,Yes,No,18918099816794413600376691269413081880069185012137969515820468165191846043218,3269286298933290620621314118101582868296898084096158405636101970954376699705,0,825.5864,0.01,0.96,0.05,0.01,True,0.97,0.01,0.96,22.794999999999998,79996.8556,0.6,0.99,0.03,0.96,59.4,59.4,0.513,No,0.999876,0.99976,0.999924,0.99,0.03,0.96,0.000495,0.009381,-0.030735,0.12,0.832,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944203,soccer_player_goals_plus_assists,Ferrán Torres: 1+ goals + assists,Ferrán Torres: 1+ goals + assists,Yes,No,84523674698381859511604711819951068487959911034166575482114616408425424005311,7638223035888765003606456791109948961423314048989685543363530636332347551515,0,6469.2485,0.13,0.37,0.05,0.01,True,0.38,0.01,0.37,76.0,76.0,0.65,0.99,0.62,0.37,64.35,64.35,124.0,No,0.975707,0.971666,0.978653,0.99,0.62,0.37,0.000495,-0.014788,-0.058829,0.12,0.803,64.35,,,,,Projected appearance probability is only 70.0%; wait for the official XI.,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944204,soccer_player_goals_plus_assists,Ferrán Torres: 2+ goals + assists,Ferrán Torres: 2+ goals + assists,Yes,No,102754385186525280631310513984765282285594995939975893992430303923312379000800,22314512654505934801796627432128999518731513493520111891211100880131664468734,0,3895.5576,0.01,0.47,0.05,0.01,True,0.47,0.01,0.45999999999999996,23.5,264.46,0.6,0.99,0.52,0.47,59.4,59.4,261.04,No,0.999573,0.999411,0.99967,0.99,0.52,0.47,0.000495,0.009078,-0.031084,0.12,0.832,59.4,,,,,Projected appearance probability is only 70.0%; wait for the official XI.,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944205,soccer_player_goals_plus_assists,Ferrán Torres: 3+ goals + assists,Ferrán Torres: 3+ goals + assists,Yes,No,104083615402819140260351562152907498439488015068742664858306640463071884164904,109804551724290108036572043248516519452731454130501089897591943471262939869292,0,3892.6535,0.02,0.46,0.05,0.01,True,0.47,0.02,0.44999999999999996,231.48909999999998,231.48909999999998,0.5,0.98,0.53,0.44999999999999996,24.5,34.4,261.0409,No,0.999995,0.999992,0.999997,0.98,0.53,0.45,0.00098,0.019015,-0.020988,0.12,0.833,34.4,,,,,Projected appearance probability is only 70.0%; wait for the official XI.,,WATCH,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944206,soccer_player_goals_plus_assists,Ferrán Torres: 4+ goals + assists,Ferrán Torres: 4+ goals + assists,Yes,No,98824789692042872739385824830493432289343531010208076990009397169349066418183,69628606729847713860781376407817410748825341813998103239552084681262324123713,0,3888.2534,0.01,0.46,0.05,0.01,True,0.47,0.01,0.45999999999999996,231.48909999999998,231.48909999999998,0.6,0.99,0.53,0.45999999999999996,59.4,59.4,261.0409,No,1.0,1.0,1.0,0.99,0.53,0.46,0.000495,0.009505,-0.030495,0.12,0.833,59.4,,,,,Projected appearance probability is only 70.0%; wait for the official XI.,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944207,soccer_player_goals_plus_assists,Giuliano Simeone: 1+ goals + assists,Giuliano Simeone: 1+ goals + assists,Yes,No,47795021948365128368414685020127453310181293779734733130428053235369351618591,45217830083139449663307258628162744736826877315446155717086572309278817171911,18,10815.9865,0.01,0.33,0.05,0.01,True,0.34,0.01,0.33,136.0,136.0,0.6,0.99,0.66,0.32999999999999996,59.4,59.4,264.0,No,0.916694,0.903258,0.927033,0.99,0.66,0.33,0.000495,-0.073801,-0.127237,0.12,0.733,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944208,soccer_player_goals_plus_assists,Giuliano Simeone: 2+ goals + assists,Giuliano Simeone: 2+ goals + assists,Yes,No,55578244850243498669354150330498239386719230991475292343550701213074516223970,54129057726348998009439644460846153272451338156729073632991630356325130690922,0,6.41,0.01,0.15,0.05,0.01,True,0.98,0.01,0.97,29.4,119.4702,0.6,0.99,0.02,0.97,59.4,59.4,0.6,No,0.996429,0.995093,0.997264,0.99,0.02,0.97,0.000495,0.005934,-0.035402,0.12,0.827,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944209,soccer_player_goals_plus_assists,Giuliano Simeone: 3+ goals + assists,Giuliano Simeone: 3+ goals + assists,Yes,No,79324845288142229538629636075118148109786786846309707089707683882234703169150,11637596622312863931453921926330399036355301577252200641354611873328112101127,0,6.4099,0.01,0.15,0.05,0.01,True,0.97,0.01,0.96,15.8692,91.4601,0.6,0.99,0.03,0.96,59.4,59.4,0.49079999999999996,No,0.999897,0.99983,0.999931,0.99,0.03,0.96,0.000495,0.009402,-0.030665,0.12,0.832,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944210,soccer_player_goals_plus_assists,Giuliano Simeone: 4+ goals + assists,Giuliano Simeone: 4+ goals + assists,Yes,No,83344588033242216559063683239544876829699021109253266382960561622151786053689,61431876259482275089869726117968520045930733146630210336777221713454196298542,0,6.41,0.01,0.15,0.05,0.01,True,0.97,0.01,0.96,14.2396,100.0701,0.6,0.99,0.03,0.96,59.4,59.4,0.44039999999999996,No,0.999998,0.999996,0.999999,0.99,0.03,0.96,0.000495,0.009503,-0.030499,0.12,0.833,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944211,soccer_player_goals_plus_assists,Julián Álvarez: 1+ goals + assists,Julián Álvarez: 1+ goals + assists,Yes,No,29206910212521847700860628324873878559760492370737416247740367608624820768678,13078381157460858763313767849263107294126578177598791226800558303510997923032,0,11167.3584,0.17,0.39,0.05,0.01,True,0.4,0.01,0.39,80.0,80.0,0.6,0.99,0.6,0.39,59.4,59.4,120.0,No,0.882021,0.863465,0.896419,0.99,0.6,0.39,0.000495,-0.108474,-0.16703,0.12,0.692,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944212,soccer_player_goals_plus_assists,Julián Álvarez: 2+ goals + assists,Julián Álvarez: 2+ goals + assists,Yes,No,18137652439420070322217430956871722512859202046005441933565912361168951894314,19842333948788416711265312273741012343345391093286864577030948214743291271472,0,10890.6176,0.02,0.1,0.05,0.01,True,0.1,0.01,0.09000000000000001,30.0,30.0,0.6,0.99,0.9,0.08999999999999997,59.4,59.4,270.0,No,0.992749,0.990087,0.994427,0.99,0.9,0.09,0.000495,0.002254,-0.040408,0.12,0.822,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944213,soccer_player_goals_plus_assists,Julián Álvarez: 3+ goals + assists,Julián Álvarez: 3+ goals + assists,Yes,No,67268409732234669542476584705414872123852308610320839589533309502655529294309,53351898074805999832037894513869344772788453179453816612685025134425080467125,0,825.5862,0.01,0.96,0.05,0.01,True,0.97,0.01,0.96,16.7616,79988.9179,0.6,0.99,0.03,0.96,59.4,59.4,0.5184,No,0.9997,0.999507,0.999798,0.99,0.03,0.96,0.000495,0.009205,-0.030988,0.12,0.832,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944214,soccer_player_goals_plus_assists,Julián Álvarez: 4+ goals + assists,Julián Álvarez: 4+ goals + assists,Yes,No,22294157364515989679500058793449764448222652977012594742122685522863904829379,42178021472848315437666729872574248374561713815538911537415840009282544838726,0,823.6859,0.01,0.95,0.05,0.01,True,0.97,0.01,0.96,18.8665,79993.82759999999,0.65,0.99,0.03,0.96,64.35,64.35,0.5834999999999999,No,0.999991,0.999981,0.999994,0.99,0.03,0.96,0.000495,0.009496,-0.030514,0.12,0.833,64.35,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944215,soccer_player_goals_plus_assists,Lamine Yamal: 1+ goals + assists,Lamine Yamal: 1+ goals + assists,Yes,No,93027588990928813551535765175250434825316986058206697842863936706646025757697,33584414885576384205301173846378207333020517174433063794469325509160813769658,0,9240.195,0.04,0.45,0.05,0.01,True,0.45,0.03,0.42000000000000004,45.0,415.0,1.5,0.97,0.55,0.41999999999999993,48.5,112.85,55.00000000000001,No,0.787051,0.756021,0.810655,0.97,0.55,0.42,0.001455,-0.184404,-0.255434,0.12,0.583,112.85,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944216,soccer_player_goals_plus_assists,Lamine Yamal: 2+ goals + assists,Lamine Yamal: 2+ goals + assists,Yes,No,49754742019720582998618982207807964436960470249400794773477231643551802541571,22149003428726257040109888362809388208359347842825522725805622952313520066833,0,839.4523,0.03,0.96,0.05,0.01,True,0.96,0.03,0.9299999999999999,192.0,652.7986999999999,12.366,0.98,0.03,0.95,68.6,132.95,0.5211,No,0.97552,0.96708,0.980774,0.98,0.03,0.95,0.00098,-0.00546,-0.0539,0.12,0.799,132.95,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944217,soccer_player_goals_plus_assists,Lamine Yamal: 3+ goals + assists,Lamine Yamal: 3+ goals + assists,Yes,No,581599052862921738693377658815095795844452431972415290329707213872272208046,101959284882906950465334141886549376033511838381562506934203033708157045393760,0,826.1862,0.03,0.96,0.05,0.01,True,0.97,0.03,0.94,16.392999999999997,79990.24789999999,0.6,0.97,0.03,0.94,19.4,53.8,0.5069999999999999,No,0.998086,0.996929,0.998672,0.97,0.03,0.94,0.001455,0.026631,-0.014526,0.12,0.829,53.8,,,,,,,WATCH,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944218,soccer_player_goals_plus_assists,Lamine Yamal: 4+ goals + assists,Lamine Yamal: 4+ goals + assists,Yes,No,54650094288271341709904084520376641090064050483235693917900795919375349322423,58254156703562910497548984719021859206694034332808760618363250486773080281085,0,825.5864,0.02,0.96,0.05,0.01,True,0.96,0.02,0.94,192.0,652.5024,0.5,0.98,0.03,0.95,24.5,34.4,0.4986,No,0.999887,0.99978,0.999931,0.98,0.03,0.95,0.00098,0.018907,-0.0212,0.12,0.832,34.4,,,,,,,WATCH,0
