fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891680,England vs. Argentina: Argentina O/U 0.5,soccer_team_totals,team_total,Argentina over 0.5,Over,Under,92832255069103059256064674256039412537235727944896260614333278413807323563015,15910911080096650316628657283649337046819367241396715641251116515633003080809,515697.2274,43489.60344299995,0.69,0.7,0.05,0.01,0.7,0.69,0.010000000000000009,366100.9734,378305.66459999996,79090.9,33225.66990000001,60822.1324,9269.4807,0.31,0.3,0.010000000000000009,15438.050100000002,29030.337600000003,4164.549300000001,151125.5666,155871.83539999998,33896.1
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891681,England vs. Argentina: Argentina O/U 1.5,soccer_team_totals,team_total,Argentina over 1.5,Over,Under,82272585945602053476684781557820061190730220616293790468940586641792211779572,666658610028547354079473579294582556780948270660038221280898246467377920108,337073.2499,149730.71144400004,0.3,0.31,0.05,0.01,0.31,0.3,0.010000000000000009,32338.458599999998,39250.896,4192.8554,17470.5866,26094.7742,2332.314,0.7,0.69,0.010000000000000009,42504.7334,64681.2158,5442.066,69141.89140000001,83176.234,9332.4846
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891682,England vs. Argentina: Argentina O/U 2.5,soccer_team_totals,team_total,Argentina over 2.5,Over,Under,96515394093226273524445691436239733674306366264722940082296189518851530307900,104372578611365800442704879713850660281434575256932641173775605147788681253230,467822.4281,19909.613656,0.09,0.1,0.05,0.01,0.1,0.09,0.010000000000000009,5275.3642,7583.275,66.268,6692.4415,7819.5542000000005,2345.4638999999997,0.91,0.9,0.010000000000000009,73705.4885,88726.48580000001,23715.2461,42742.735799999995,59667.41499999999,596.4119999999999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891683,England vs. Argentina: England 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,England first half over 0.5,Over,Under,77526126263108804808391760486193942126967192161266297971339673952632122113911,84092266742673947145635285759305834518506864534282492898063166624458439173743,277420.0695,25918.15186200001,0.4,0.41,0.05,0.01,0.41,0.4,0.009999999999999953,63717.5401,67719.95,37957.5499,369.88000000000005,5055.3142,97.66000000000001,0.6,0.59,0.010000000000000009,572.27,8216.9258,146.49,90195.1599,95500.68,54621.840099999994
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891684,England vs. Argentina: England 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,England first half over 1.5,Over,Under,27487523557706224190047425514329630296618615730601947451759944634052167672666,112992508611138908885407045065833841013441702733642198784488424112576796759473,99115.8868,10395.927185999999,0.08,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,23.8755,58.251599999999996,20.8755,189.87400000000002,2558.6155,107.674,0.93,0.91,0.020000000000000018,2737.6421,47743.730599999995,1449.8421,214.62380000000002,492.7577,187.62380000000002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891685,England vs. Argentina: Argentina 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,Argentina first half over 0.5,Over,Under,45490818678589671823287925735784623487595733771184512208411495396896436718407,5621931345114947208087292752677791074964958704918484917797043110732213131571,142462.7063,2010.3324479999997,0.37,0.38,0.05,0.01,0.38,0.37,0.010000000000000009,9357.1034,15527.435400000002,2472.8234,2520.9686,3974.7565999999997,1384.0886,0.63,0.62,0.010000000000000009,4377.8114000000005,7077.7034,2356.6914,14802.3266,24057.8246,4034.6066
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891686,England vs. Argentina: Argentina 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,Argentina first half over 1.5,Over,Under,110327662349011550453242537232970940835356475217481393814354165672414520272258,13858566148311352342843254940392269005458969291822285808833141685115706665101,128908.5833,5999.7456619999975,0.07,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,89.98949999999999,278.1555,45.238499999999995,70.8288,123.6558,48.1194,0.93,0.91,0.020000000000000018,995.0812000000001,1998.7942,639.3006,860.1705,2382.6045,457.4115
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891687,England vs. Argentina: Both Teams to Score in Second Half,both_teams_to_score_second_half,btts,Both teams to score second half,Yes,No,10164417472019520172498547784804753830625748915674119594974626361456374226791,35436364394090023456535502839525198644548789356594940931009438134007572106731,409579.6634,42355.925988999996,0.24,0.25,0.05,0.01,0.25,0.24,0.010000000000000009,87839.93900000001,88561.37900000002,15109.97,7818.9052,8634.6652,2860.7951999999996,0.76,0.75,0.010000000000000009,25658.0748,28550.3148,9059.184799999999,252330.59100000001,254281.151,45329.909999999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891688,England vs. Argentina: 2nd Half O/U 0.5,second_half_totals,half_total,Second half over 0.5,Over,Under,67135679830887607694829268220701272547694175687373324517962117885295121407495,31689649819161921986522492342270320206644654455758419395240821141864424410968,57002.1098,950.9714789999999,0.73,0.74,0.05,0.01,0.75,0.74,0.010000000000000009,489.7668,3956.8457999999996,199.5,315.5196,2447.31,23.1546,0.26,0.25,0.010000000000000009,116.27040000000001,945.3000000000001,8.1354,158.16320000000002,1193.7842,66.5
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891689,England vs. Argentina: 2nd Half O/U 1.5,second_half_totals,half_total,Second half over 1.5,Over,Under,37021195927973212609176408856486744218862160292541446302272018835646943535080,17865835101508745380381736006469929177788103924376194019771061619796311582752,431668.812,5393.960628,0.38,0.39,0.05,0.01,0.39,0.38,0.010000000000000009,208477.7981,208831.5707,1530.7461,8920.4922,10232.958600000002,63.528400000000005,0.62,0.61,0.010000000000000009,15184.4278,17517.7014,103.6516,312814.8219,313323.9093,2394.2439
