group,contract,side,central_probability,spec_p10,confidence_class,external_benchmark_probability,external_benchmark_source,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k,max_entry,depth_1c_usd,market_volume,decision,recommended_amount_10k
advance,England to advance,NO,0.479079,0.47439,low,,,0.4625,0.46,0.0025,0.01243,0.004149,-0.01054,0.04,0.00439,PASS,274098.48,0.0,0.4122,820509.12,7541137.8,PASS,0.0
extra_time,Match goes to extra time,NO,0.676423,0.672928,low,,,0.67,0.66,0.01,0.011055,-0.004632,-0.018127,0.04,0.002928,PASS,4449.15,0.0,0.611,65957.82,31334.67,PASS,0.0
extra_time,Match goes to penalties,NO,0.812326,0.810298,low,,,0.82,0.8,0.02,0.00738,-0.015054,-0.027082,0.04,0.000298,PASS,274.47,0.0,0.7509,2357.15,37737.28,PASS,0.0
exact_score,England 0-0 Argentina,YES,0.117778,0.111525,medium,,,0.12,0.11,0.01,0.00528,-0.007502,-0.021255,0.03,-0.005975,PASS,62950.01,0.0,0.0707,232776.24,628511.22,PASS,0.0
exact_score,England 0-1 Argentina,NO,0.895094,0.893069,medium,,,0.9,0.89,0.01,0.0045,-0.009406,-0.018931,0.03,-0.004431,PASS,1018231.41,0.0,0.8491,109063.82,77112.44,PASS,0.0
exact_score,England 1-0 Argentina,YES,0.121251,0.120094,medium,,,0.11,0.1,0.01,0.004895,0.006356,-0.002301,0.03,0.012594,PASS,9685.67,0.0,0.0789,115771.43,223887.23,PASS,0.0
exact_score,England 0-2 Argentina,YES,0.055889,0.054566,medium,,,0.06,0.05,0.01,0.00282,-0.006931,-0.015754,0.03,-0.002934,PASS,2590.44,0.0,0.0162,115284.93,195855.57,PASS,0.0
exact_score,England 1-1 Argentina,NO,0.860241,0.854146,medium,,,0.84,0.83,0.01,0.00672,0.013521,-7.4e-05,0.03,0.016646,PASS,941960.47,0.0,0.8089,229314.06,245654.34,WATCH,0.0
exact_score,England 2-0 Argentina,NO,0.943784,0.9427,medium,,,0.94,0.93,0.01,0.00282,0.000964,-0.00762,0.03,0.0052,PASS,556600.81,0.0,0.9007,273969.91,246908.67,PASS,0.0
exact_score,England 0-3 Argentina,YES,0.026132,0.025312,medium,,,0.015,0.014,0.001,0.000739,0.010394,0.002073,0.03,0.003812,PASS,29.53,0.0,0.0,4946.64,660543.79,WATCH,0.0
exact_score,England 1-2 Argentina,NO,0.9327,0.93055,medium,,,0.93,0.92,0.01,0.003255,-0.000555,-0.010205,0.03,0.00305,PASS,1316376.68,0.0,0.888,1295703.05,942238.69,PASS,0.0
exact_score,England 2-1 Argentina,NO,0.921144,0.918705,medium,,,0.92,0.91,0.01,0.00368,-0.002536,-0.012475,0.03,0.001205,PASS,1401112.98,0.0,0.8757,839146.65,1311098.74,PASS,0.0
exact_score,England 3-0 Argentina,YES,0.022565,0.021878,medium,,,0.02,0.019,0.001,0.00098,0.001585,-0.006602,0.03,-0.004622,PASS,32.03,0.0,0.0,6375.61,1024071.12,PASS,0.0
exact_score,England 1-3 Argentina,NO,0.9725,0.972052,medium,,,0.969,0.968,0.001,0.001502,0.001998,-0.00595,0.03,-0.003448,PASS,44016.68,0.0,0.9313,135879.67,882803.26,PASS,0.0
exact_score,England 2-2 Argentina,YES,0.056664,0.055193,medium,,,0.05,0.04,0.01,0.002375,0.004289,-0.004682,0.03,0.007693,PASS,2860.83,0.0,0.0168,61960.6,819736.42,PASS,0.0
exact_score,England 3-1 Argentina,NO,0.972339,0.971916,medium,,,0.96,0.959,0.001,0.00192,0.010419,0.002496,0.03,0.005416,PASS,146379.32,0.0,0.9312,205503.66,1051832.29,WATCH,0.0
exact_score,England 2-3 Argentina,NO,0.985271,0.984621,medium,,,0.98,0.978,0.002,0.00098,0.004291,-0.003859,0.03,-0.000879,PASS,494301.3,0.0,0.9445,76321.65,2055331.59,PASS,0.0
exact_score,England 3-2 Argentina,NO,0.982742,0.981987,medium,,,0.979,0.978,0.001,0.001028,0.002714,-0.005541,0.03,-0.003513,PASS,5124.64,0.0,0.9417,102197.12,2087651.96,PASS,0.0
